name,price,size,color,rpm,airflow,noise_level,pwm
Cooler Master MasterFan MF120 Halo²,23.33,120,Black,,51.88,27,TRUE
Cooler Master MasterFan MF120 Halo²,15.99,120,White,,51.88,27,TRUE
Cooler Master MasterFan MF120R,,120,Black,"6,502,000",59,31,TRUE
Cooler Master MasterFan MF120R 3-Pack,69.98,120,Black,"6,502,000",59,31,TRUE
Cooler Master MasterFan MFL RGB,,120,Black,1200,32.5,25,FALSE
Cooler Master MasterFan MFR RGB,,120,Black,"6,502,000",49,30,TRUE
Cooler Master MasterFan Pro Air Balance,,120,Black / White,"6,501,300",42.7,"6,20",TRUE
Cooler Master MasterFan Pro Air Balance,,120,Black,"6,502,500","42.7,83.1","6,36",TRUE
Cooler Master MasterFan Pro Air Balance 3-Pack,,120,Black,1300,42.7,20,TRUE
Cooler Master MasterFan Pro Air Flow,,120,Black,"6,501,100",48.8,"6,20",TRUE
Cooler Master MasterFan Pro Air Flow,,120,Black,"6,501,900","48.8,84.5","6,36",TRUE
Cooler Master MasterFan Pro Air Flow 3-Pack,,120,,"6,501,100",48.8,"6,20",TRUE
Cooler Master MasterFan Pro Air Pressure,,120,Black,"6,502,750","35,62.1","6,36",TRUE
Cooler Master MasterFan Pro Air Pressure,,120,Black,"6,501,500",35,"6,20",TRUE
Cooler Master MasterFan Pro Air Pressure 3-Pack,,120,Black,"6,501,500",35,"6,20",TRUE
Cooler Master MasterFan SF120M,,120,Black,"6,502,000","35,62","5.5,22",TRUE
